store_id,uptime_last_hour_min,downtime_last_hour_min,uptime_last_day_hr,downtime_last_day_hr,uptime_last_week_hr,downtime_last_week_hr,now_utc
b0d02a84-eafb-4df0-bd41-8fb104046f71,34,0,11.54,2.45,56.78,15.22,2024-10-15 05:26:00 UTC
241933e3-4b01-4aa9-902f-05744d7d1824,34,0,11.54,2.46,59.78,12.22,2024-10-15 05:26:00 UTC
03a8d396-bb73-431e-b05d-d30f31af22ea,34,0,11.54,2.46,59.77,12.22,2024-10-15 05:26:00 UTC
c0e9f7fc-c154-4a20-b7b9-5a2522e0222c,34,0,11.54,2.46,59.77,12.23,2024-10-15 05:26:00 UTC
2a686d9f-b01b-4bb9-82a4-d76569c949dd,34,0,11.54,2.46,59.77,12.23,2024-10-15 05:26:00 UTC
200d0cfb-fcbb-424c-ab86-4df6af2a8edc,34,0,11.54,2.46,59.77,12.23,2024-10-15 05:26:00 UTC
20fc6d2f-a1b1-47a7-b9d4-7144d3b2c727,34,0,11.54,2.46,59.76,12.23,2024-10-15 05:26:00 UTC
4093e636-2bc5-449d-8169-9a3fb890a36a,34,0,11.54,2.46,59.76,12.24,2024-10-15 05:26:00 UTC
85ed9b40-0451-4f08-8b65-237893909bf8,34,0,11.54,2.46,59.76,12.24,2024-10-15 05:26:00 UTC
1a3b7fe3-32d1-46ba-b102-914425f0bbd9,34,0,11.54,2.46,56.76,15.24,2024-10-15 05:26:00 UTC
fe2fe979-a98d-4338-97a7-d7bfb748ee5e,34,0,11.54,2.46,55.67,16.33,2024-10-15 05:26:00 UTC
a94e93ac-a4eb-4efb-a79e-0176af88cc1a,60,0,11.97,1.46,64.75,7.25,2024-10-15 05:26:00 UTC
8e1b4a5d-bcfc-4a43-bd46-79c713c702ec,34,0,11.54,2.46,56.75,15.25,2024-10-15 05:26:00 UTC
e6cdaf9e-a96d-4466-a196-504e9b3ecb03,34,0,11.54,2.46,59.74,12.25,2024-10-15 05:26:00 UTC
a2e71b56-7126-4aa6-a97b-666390a1f464,60,0,11.97,1.46,64.74,7.26,2024-10-15 05:26:00 UTC
c716d0ce-f75d-45ed-9d87-6256bec40551,34,0,11.54,2.46,59.74,12.26,2024-10-15 05:26:00 UTC
ce0f24a5-20b5-487d-a103-9f1cede32e0b,34,0,11.54,2.46,59.74,12.26,2024-10-15 05:26:00 UTC
449aaeca-c676-4c18-9695-d656c3b7a239,34,0,11.54,2.46,56.74,15.26,2024-10-15 05:26:00 UTC
156fda04-ad40-491e-9e50-58d97d433609,0,0,10.54,2.46,56.73,12.27,2024-10-15 05:26:00 UTC
258f7955-cab5-4a3b-9a9a-2b8c31e930e6,60,0,11.97,1.47,64.73,7.27,2024-10-15 05:26:00 UTC
2915f491-91cc-4536-abe5-a61df4a9b61e,34,0,11.53,2.47,59.72,12.27,2024-10-15 05:26:00 UTC
9e0dac02-e2cf-48bd-9b4e-3b0ed1901b54,60,0,11.97,1.47,64.72,7.28,2024-10-15 05:26:00 UTC
c0321cd9-0d5c-493d-bb67-8e39a3590011,34,0,11.52,2.48,56.66,15.34,2024-10-15 05:26:00 UTC
474b6ebc-d09f-4270-aad1-d8b4bfd0d98c,34,0,11.52,2.48,59.65,12.35,2024-10-15 05:26:00 UTC
437cd23b-c69c-48f8-8a90-fc6106d71dc4,0,0,10.52,2.48,55.11,12.89,2024-10-15 05:26:00 UTC
f2b972e3-64af-41e0-a723-8696289e3cb5,0,0,0.0,1.0,0.0,7.0,2024-10-15 05:26:00 UTC
